binned_coordinates,updated_type,updated_subtype,hour,alert_count,binned_longitude,binned_latitude
"(-87.63, 41.85)",Accident,Minor,07:00,1,-87.63,41.85
"(-87.62, 41.9)",Accident,Minor,07:00,1,-87.62,41.9
"(-87.61, 41.85)",Accident,Minor,07:00,1,-87.61,41.85
"(-87.63, 41.91)",Accident,Minor,08:00,2,-87.63,41.91
"(-87.78, 41.79)",Accident,Minor,08:00,1,-87.78,41.79
"(-87.74, 41.82)",Accident,Minor,08:00,1,-87.74,41.82
"(-87.74, 41.87)",Accident,Minor,08:00,1,-87.74,41.87
"(-87.72, 41.87)",Accident,Minor,08:00,1,-87.72,41.87
"(-87.66, 41.88)",Accident,Minor,08:00,1,-87.66,41.88
"(-87.65, 41.89)",Accident,Minor,08:00,1,-87.65,41.89
"(-87.64, 41.89)",Accident,Minor,08:00,1,-87.64,41.89
"(-87.63, 41.8)",Accident,Minor,08:00,1,-87.63,41.8
"(-87.62, 41.73)",Accident,Minor,08:00,1,-87.62,41.73
"(-87.61, 41.71)",Accident,Minor,09:00,2,-87.61,41.71
"(-87.82, 41.98)",Accident,Minor,09:00,1,-87.82,41.98
"(-87.76, 41.97)",Accident,Minor,09:00,1,-87.76,41.97
"(-87.74, 41.82)",Accident,Minor,09:00,1,-87.74,41.82
"(-87.73, 41.95)",Accident,Minor,09:00,1,-87.73,41.95
"(-87.67, 41.92)",Accident,Minor,09:00,1,-87.67,41.92
"(-87.65, 41.89)",Accident,Minor,09:00,1,-87.65,41.89
"(-87.64, 41.85)",Accident,Minor,09:00,1,-87.64,41.85
"(-87.64, 41.86)",Accident,Minor,09:00,1,-87.64,41.86
"(-87.63, 41.84)",Accident,Minor,09:00,1,-87.63,41.84
"(-87.63, 41.91)",Accident,Minor,10:00,3,-87.63,41.91
"(-87.65, 41.85)",Accident,Minor,10:00,2,-87.65,41.85
"(-87.63, 41.93)",Accident,Minor,10:00,2,-87.63,41.93
"(-87.88, 41.98)",Accident,Minor,10:00,1,-87.88,41.98
"(-87.79, 41.98)",Accident,Minor,10:00,1,-87.79,41.98
"(-87.76, 41.81)",Accident,Minor,10:00,1,-87.76,41.81
"(-87.74, 41.87)",Accident,Minor,10:00,1,-87.74,41.87
"(-87.74, 41.96)",Accident,Minor,10:00,1,-87.74,41.96
"(-87.72, 41.93)",Accident,Minor,10:00,1,-87.72,41.93
"(-87.72, 41.95)",Accident,Minor,10:00,1,-87.72,41.95
"(-87.75, 41.96)",Accident,Minor,11:00,2,-87.75,41.96
"(-87.74, 41.82)",Accident,Minor,11:00,2,-87.74,41.82
"(-87.72, 41.95)",Accident,Minor,11:00,2,-87.72,41.95
"(-87.66, 41.84)",Accident,Minor,11:00,2,-87.66,41.84
"(-87.65, 41.87)",Accident,Minor,11:00,2,-87.65,41.87
"(-87.65, 41.88)",Accident,Minor,11:00,2,-87.65,41.88
"(-87.63, 41.8)",Accident,Minor,11:00,2,-87.63,41.8
"(-87.61, 41.85)",Accident,Minor,11:00,2,-87.61,41.85
"(-87.76, 41.78)",Accident,Minor,11:00,1,-87.76,41.78
"(-87.75, 41.82)",Accident,Minor,11:00,1,-87.75,41.82
"(-87.63, 41.82)",Accident,Minor,12:00,4,-87.63,41.82
"(-87.78, 41.98)",Accident,Minor,12:00,3,-87.78,41.98
"(-87.72, 41.82)",Accident,Minor,12:00,3,-87.72,41.82
"(-87.69, 41.93)",Accident,Minor,12:00,3,-87.69,41.93
"(-87.64, 41.85)",Accident,Minor,12:00,3,-87.64,41.85
"(-87.62, 41.73)",Accident,Minor,12:00,3,-87.62,41.73
"(-87.75, 41.97)",Accident,Minor,12:00,2,-87.75,41.97
"(-87.75, 41.98)",Accident,Minor,12:00,2,-87.75,41.98
"(-87.73, 41.95)",Accident,Minor,12:00,2,-87.73,41.95
"(-87.67, 41.91)",Accident,Minor,12:00,2,-87.67,41.91
"(-87.65, 41.89)",Accident,Minor,13:00,9,-87.65,41.89
"(-87.74, 41.96)",Accident,Minor,13:00,6,-87.74,41.96
"(-87.64, 41.86)",Accident,Minor,13:00,6,-87.64,41.86
"(-87.67, 41.92)",Accident,Minor,13:00,5,-87.67,41.92
"(-87.72, 41.95)",Accident,Minor,13:00,4,-87.72,41.95
"(-87.69, 41.93)",Accident,Minor,13:00,4,-87.69,41.93
"(-87.66, 41.9)",Accident,Minor,13:00,4,-87.66,41.9
"(-87.64, 41.88)",Accident,Minor,13:00,4,-87.64,41.88
"(-87.62, 41.73)",Accident,Minor,13:00,4,-87.62,41.73
"(-87.59, 41.75)",Accident,Minor,13:00,4,-87.59,41.75
"(-87.75, 41.97)",Accident,Minor,14:00,8,-87.75,41.97
"(-87.75, 41.96)",Accident,Minor,14:00,7,-87.75,41.96
"(-87.65, 41.89)",Accident,Minor,14:00,6,-87.65,41.89
"(-87.62, 41.9)",Accident,Minor,14:00,6,-87.62,41.9
"(-87.69, 41.93)",Accident,Minor,14:00,5,-87.69,41.93
